farmyr,Year,Longitude,Latitude
11-006-086-00021-02-00 2010,2010,-5.784583356,36.73640365
11-006-086-021-2 2012,2012,-5.786088991,36.73469219
11-006-088-00001-02-01 2018,2018,-5.790689212,36.73526923
11-006-088-00007-01-01 2017,2017,-5.787842211,36.7277571
11-006-088-00009-02 2015,2015,-5.782917162,36.72468227
11-006-088-00012-00-01 2007,2007,-5.784803538,36.73383428
11-006-089-00001-02-01 2018,2018,-5.788521078,36.72176637
11-006-089-00004-04-01 2017,2017,-5.793084619,36.72475033
11-006-089-00005-00-40 2007,2007,-5.793571475,36.72829854
11-006-089-00005-04-1 2013,2013,-5.793610995,36.72815343
11-006-089-00006-00-03 2008,2008,-5.792525599,36.7300348
11-006-089-00010-00 2011,2011,-5.796284246,36.72746879
11-006-089-00010-00-00 2006,2006,-5.795260057,36.72886266
11-006-089-00010-04 2012,2012,-5.796354378,36.72724185
11-006-089-00010-04 2015,2015,-5.79627208,36.72744204
11-006-089-00010-04-01 2017,2017,-5.796282939,36.72743278
11-006-089-00013-00-01 2008,2008,-5.799178867,36.7238616
11-006-089-010-4 2012,2012,-5.796354378,36.72724185
11-006-090-00035-00 2011,2011,-5.805240592,36.74346097
11-006-090-00041-00-10 2007,2007,-5.80456505,36.74335975
11-006-090-00041-01-01 2015,2015,-5.805762377,36.74149312
11-006-090-00045-03-00 2010,2010,-5.808759205,36.73923252
11-006-090-00045-03-01 2018,2018,-5.81011923,36.73753322
11-006-090-00046-01-00 2012,2012,-5.803689265,36.73991089
11-006-090-00069-00-01 2007,2007,-5.806555521,36.72770357
11-006-090-00071-01-00 2010,2010,-5.807090768,36.72294265
11-006-090-00072-03-0 2018,2018,-5.804180511,36.72202902
11-006-090-00075-00-01 2007,2007,-5.80481519,36.72132015
11-006-090-00077-02-00 2010,2010,-5.811918029,36.72362166
11-006-090-00077-02-00 2012,2012,-5.810956482,36.7230406
11-006-090-00077-02-00 2014,2014,-5.810507441,36.72300615
11-006-090-00085-00-a0 2008,2008,-5.805134811,36.71318401
11-006-090-00085-01-13 2018,2018,-5.806507687,36.71123212
11-006-090-00089-01 2012,2012,-5.80516681,36.71037159
11-006-090-00089-01-01 2015,2015,-5.806273543,36.70848906
11-006-090-00089-01-10 2018,2018,-5.806589942,36.70857172
11-006-092-00002-02-0 2018,2018,-5.849581409,36.6992138
11-006-092-00004-02-01 2017,2017,-5.848285025,36.69835269
11-006-092-00007-00-01 2007,2007,-5.838242903,36.70524333
11-006-092-00007-01 2012,2012,-5.839367792,36.70326996
11-006-092-00007-01-00 2010,2010,-5.839410287,36.70351226
11-006-092-00012-04-00 2014,2014,-5.8362455,36.70631831
11-006-092-00013-02-00 2010,2010,-5.833351782,36.70889252
11-006-092-00013-02-01 2017,2017,-5.835313097,36.70774636
11-006-092-00017-01 2012,2012,-5.834204413,36.70346519
11-006-092-007-1 2012,2012,-5.839367792,36.70326996
11-006-092-017-1 2012,2012,-5.834204413,36.70346519
11-006-093-00005-00-01 2006,2006,-5.853565857,36.70406569
11-006-093-00005-02 2011,2011,-5.854140021,36.70324988
11-006-093-00005-02-00 2009,2009,-5.853552676,36.70401194
11-006-093-00005-02-00 2010,2010,-5.854657599,36.7024174
11-006-093-00005-02-00 2012,2012,-5.854750235,36.70219889
11-006-093-00005-02-00 2013,2013,-5.853552676,36.70401194
11-006-093-00007-00-02 2006,2006,-5.849823285,36.70273157
11-006-093-00007-02-00 2009,2009,-5.849929445,36.70257582
11-006-093-00007-02-00 2010,2010,-5.849940627,36.70257556
11-006-093-00009-00-00 2008,2008,-5.84911091,36.70453637
11-006-093-00009-00-11 2007,2007,-5.849176175,36.70460347
11-006-093-00009-01-00 2011,2011,-5.849940627,36.70257556
11-006-093-00009-01-00 2013,2013,-5.85036067,36.70273671
11-006-093-00012-01-00 2009,2009,-5.84974023,36.70775306
11-006-093-00012-01-00 2010,2010,-5.84974023,36.70775306
11-006-093-00012-01-00 2013,2013,-5.849727717,36.70771731
11-006-093-00012-01-00 2015,2015,-5.850827309,36.70567235
11-006-093-00012-01-01 2012,2012,-5.345673826,37.01537057
11-006-093-00014-03 2012,2012,-5.846477138,36.70576751
11-006-093-00014-03-01 2015,2015,-5.847623969,36.70409093
11-006-093-00014-03-01 2017,2017,-5.849397409,36.70513887
11-006-093-00017-01-00 2015,2015,-5.850414368,36.70752062
11-006-093-00017-01-00 2017,2017,-5.85071496,36.70747737
11-006-093-00019-00-00 2008,2008,-5.847131081,36.70897164
11-006-093-00019-00-02 2006,2006,-5.846983307,36.70917082
11-006-093-00019-04-00 2012,2012,-5.848837655,36.7075584
11-006-093-00019-04-00 2013,2013,-5.848179434,36.70731282
11-006-093-00019-04-01 2017,2017,-5.84991335,36.70880327
11-006-093-00039-01-01 2017,2017,-5.848124311,36.70763856
11-006-094-00012-01 2011,2011,-5.853558875,36.70599435
11-006-095-00003-03-00 2009,2009,-5.907077494,36.72109943
11-006-095-00003-03-00 2012,2012,-5.907448209,36.72054066
11-006-095-00006-00-01 2007,2007,-5.904069344,36.71969503
11-006-095-00006-00-10 2006,2006,-5.904064071,36.71969768
11-006-095-00006-01-00 2011,2011,-5.904106287,36.71978424
11-006-095-00006-01-00 2013,2013,-5.904106287,36.71978424
11-006-095-00006-01-00 2015,2015,-5.905263862,36.7178275
11-006-095-00006-01-00 2017,2017,-5.905263862,36.7178275
11-006-095-00006-01-01 2009,2009,-5.904106287,36.71978424
11-006-095-00076-00-00 2006,2006,-5.901084359,36.71592896
11-010-003-00005-00-00 2008,2008,-5.690243755,36.87767769
11-010-003-00005-01-* 2018,2018,-5.691809895,36.87598016
11-010-003-00005-01-00 2015,2015,-5.691823001,36.87603393
11-010-003-00005-01-01 2017,2017,-5.691809895,36.87598016
11-010-003-00008-01 2015,2015,-5.689567421,36.87568851
11-010-003-00009-00-02 2006,2006,-5.685717242,36.87689311
11-010-003-00009-00-21 2007,2007,-5.685717242,36.87689311
11-010-003-00009-02 2015,2015,-5.68705486,36.87505148
11-010-003-00009-02-* 2018,2018,-5.6869633,36.87499948
11-010-003-00009-02-01 2017,2017,-5.687070803,36.8751863
11-010-003-00010-00-00 2008,2008,-5.688905334,36.87536106
11-010-003-00010-00-01 2007,2007,-5.68911622,36.87518848
11-010-003-00010-03-* 2018,2018,-5.690303776,36.87333778
11-010-003-00010-03-00 2009,2009,-5.688905334,36.87536106
11-010-003-00010-03-00 2010,2010,-5.688905334,36.87536106
11-010-003-00012-02-00 2009,2009,-5.689100262,36.87356329
11-010-003-00012-02-01 2017,2017,-5.690212956,36.87170869
11-010-003-00019-02-* 2018,2018,-5.692065782,36.87017075
11-010-003-00020-02 2015,2015,-5.697116829,36.87091227
11-010-003-00020-02-01 2017,2017,-5.697128036,36.87091201
11-010-003-00020-02-01 2018,2018,-5.697128036,36.87091201
11-010-003-00022-02-00 2017,2017,-5.697589273,36.87348793
11-010-003-00022-02-00 2018,2018,-5.696647161,36.8731849
11-010-003-00024-02-00 2010,2010,-5.694822974,36.876813
11-010-003-00024-02-00 2011,2011,-5.694822974,36.876813
11-010-003-00100-00-01 2006,2006,-5.689123498,36.87518489
11-010-004-00007-02 2011,2011,-5.72181115,36.83633845
11-010-004-00007-02 2012,2012,-5.72181115,36.83633845
11-010-004-00008-00-01 2008,2008,-5.718283938,36.83555669
11-010-004-00009-02-00 2017,2017,-5.72008759,36.83642298
11-010-004-00009-02-01 2018,2018,-5.720157391,36.83617807
11-010-004-00020-01-01 2018,2018,-5.713872891,36.84139544
11-010-004-00030-02-01 2018,2018,-5.711636921,36.84665532
11-010-004-00052-01-1 2011,2011,-5.702317411,36.86380089
11-010-004-00073-00-00 2008,2008,-5.678502348,36.85947376
11-010-004-00073-00-02 2006,2006,-5.678344056,36.85945949
11-010-004-00079-02 2015,2015,-5.686002179,36.85524925
11-010-004-00093-01 2015,2015,-5.693419544,36.84771862
11-010-004-00101-00-00 2006,2006,-5.694377704,36.84466892
11-010-004-00101-03-00 2017,2017,-5.695428498,36.84266247
11-010-004-00103-02-00 2017,2017,-5.703799887,36.84285975
11-010-004-00104-01-1 2012,2012,-5.69824324,36.84395035
11-010-004-00108-01-01 2018,2018,-5.703854317,36.84281345
11-010-004-00110-01-01 2018,2018,-5.700233479,36.84347256
11-010-004-00114-02-00 2017,2017,-5.698681122,36.84651779
11-010-005-00017-02 2015,2015,-5.721113555,36.82836096
11-010-005-00017-02-01 2018,2018,-5.721113555,36.82836096
11-010-005-00020-00-10 2006,2006,-5.716839737,36.83525367
11-010-005-00020-00-10 2007,2007,-5.716828535,36.83525393
11-010-006-00023-01 2015,2015,-5.69811497,36.83073289
11-010-006-00029-01-00 2017,2017,-5.69657748,36.83994186
11-010-006-00029-01-01 2015,2015,-5.696588683,36.8399416
11-010-006-00029-01-01 2018,2018,-5.69657748,36.83994186
11-010-006-00030-01-01 2018,2018,-5.696151923,36.838041
