farmyr,Year,Longitude,Latitude
14-030-012-00169-01 2018,2018,-5.13673035,37.73710326
14-030-012-00169-01-00 2019,2019,-5.13673035,37.73710326
14-030-012-00176-00-d3 2006,2006,-5.140134471,37.73906911
14-030-012-00176-00-d3 2010,2010,-5.140108574,37.7390722
14-030-012-00185-00-d0 2006,2006,-5.140085353,37.74239497
14-030-012-00185-00-d0 2007,2007,-5.140085353,37.74239497
14-030-012-00185-00-d0 2008,2008,-5.140085353,37.74239497
14-030-012-00185-00-d0 2009,2009,-5.140085353,37.74239497
14-030-012-00185-00-d0 2010,2010,-5.140085353,37.74239497
14-030-012-00188-00-01 2006,2006,-5.137932435,37.74299314
14-030-012-00220-01 2017,2017,-5.124540567,37.74177549
14-030-012-00220-01 2018,2018,-5.124540567,37.74177549
14-030-012-00220-01-00 2019,2019,-5.124540567,37.74177549
14-030-012-00246-01-00 2009,2009,-5.119381793,37.74034767
14-030-012-00246-01-00 2010,2010,-5.119381793,37.74034767
14-030-012-00246-01-00 2011,2011,-5.119381729,37.74034542
14-030-012-00259-01-00 2009,2009,-5.135082187,37.73858628
14-030-012-00259-01-00 2010,2010,-5.135082187,37.73858628
14-030-012-00259-01-00 2011,2011,-5.135082122,37.73858403
14-030-012-00283-00-m7 2007,2007,-5.128810877,37.73912106
14-030-012-00283-02-00 2009,2009,-5.128810877,37.73912106
14-030-012-00283-02-00 2010,2010,-5.128810877,37.73912106
14-030-012-00283-02-00 2011,2011,-5.128810877,37.73912106
14-030-012-00283-02-00 2012,2012,-5.128810877,37.73912106
14-030-012-00283-02-00 2013,2013,-5.128810877,37.73912106
14-030-012-00295-01-02 2009,2009,-5.123414111,37.74365645
14-030-012-00295-01-02 2010,2010,-5.123414111,37.74365645
14-030-012-00295-01-02 2011,2011,-5.12341399,37.74365221
14-030-012-02301-01 2011,2011,-5.127012486,37.74765159
14-030-012-02301-01 2012,2012,-5.127012486,37.74765159
14-030-012-02301-01 2013,2013,-5.127012486,37.74765159
14-030-012-02301-01 2014,2014,-5.127012486,37.74765159
14-030-012-02301-01 2015,2015,-5.127012486,37.74765159
14-030-012-02301-01 2016,2016,-5.127012486,37.74765159
14-030-013-00022-00-na 2007,2007,-5.129233663,37.75822726
