farmyr,Year,Longitude,Latitude
11-039-013-00005-33-01 2019,2019,-5.931173502,36.27803285
11-039-013-00005-34-00 2009,2009,-5.929576322,36.2760984
11-039-013-00005-34-00 2010,2010,-5.929576322,36.2760984
11-039-013-00005-34-00 2011,2011,-5.929576322,36.2760984
11-039-013-00005-34-00 2012,2012,-5.929576322,36.2760984
11-039-013-00078-02-00 2013,2013,-5.868519922,36.27192013
11-039-013-00078-02-00 2014,2014,-5.868519922,36.27192013
11-039-013-00078-02-00 2015,2015,-5.868519922,36.27192013
11-039-013-00078-02-00 2016,2016,-5.868519922,36.27192013
11-039-013-00078-02-00 2017,2017,-5.868519922,36.27192013
11-039-013-00078-02-00 2018,2018,-5.868519922,36.27192013
11-039-013-00078-02-00 2019,2019,-5.868519922,36.27192013
11-039-013-00078-03-0 2010,2010,-5.866373842,36.26314875
11-039-013-00078-03-0 2011,2011,-5.866373842,36.26314875
11-039-013-00078-03-00 2009,2009,-5.862601192,36.26862844
11-039-013-00078-03-00 2010,2010,-5.862601192,36.26862844
11-039-013-00078-03-00 2011,2011,-5.862601192,36.26862844
11-039-013-00078-03-00 2012,2012,-5.862601192,36.26862844
11-039-018-00012-02 2016,2016,-5.791347728,36.23348964
11-039-018-00012-02 2017,2017,-5.791347728,36.23348964
11-039-018-00012-02 2018,2018,-5.791347728,36.23348964
11-039-018-00012-02 2019,2019,-5.791347728,36.23348964
11-039-018-00012-02-00 2014,2014,-5.790146254,36.23536522
11-039-018-00012-03 2016,2016,-5.791347728,36.23348964
11-039-018-00012-03 2017,2017,-5.791347728,36.23348964
11-039-018-00012-03 2018,2018,-5.791347728,36.23348964
11-039-018-00012-03 2019,2019,-5.791347728,36.23348964
11-039-018-00012-04 2012,2012,-5.788303333,36.23421858
11-039-018-00012-04 2016,2016,-5.791347728,36.23348964
11-039-018-00012-04 2017,2017,-5.791347728,36.23348964
11-039-018-00012-04 2019,2019,-5.791347728,36.23348964
11-039-018-00012-04-00 2013,2013,-5.790145614,36.23534721
11-039-018-00012-04-00 2015,2015,-5.789465819,36.23249714
11-039-018-00012-04-10 2011,2011,-5.790145614,36.23534721
11-039-018-00012-05 2016,2016,-5.791347728,36.23348964
11-039-018-00012-05 2017,2017,-5.791347728,36.23348964
11-039-018-00013-01-0 2010,2010,-5.78921294,36.23024846
11-039-018-00013-01-00 2009,2009,-5.787895195,36.23190201
11-039-018-00013-01-1 2011,2011,-5.78921908,36.23024981
11-039-018-00013-02-1 2011,2011,-5.78921908,36.23024981
11-039-019-00001-01-2 2010,2010,-5.856403644,36.24575967
11-039-019-00001-01-a 2012,2012,-5.855410104,36.24627908
11-039-019-00001-02 2015,2015,-5.855410104,36.24627908
11-039-019-00001-02-0 2013,2013,-5.855410104,36.24627908
11-039-019-00001-02-00 2014,2014,-5.855410104,36.24627908
11-039-019-00002-01 2015,2015,-5.855410104,36.24627908
11-039-019-00002-02-00 2009,2009,-5.844492111,36.2473613
11-039-019-00002-02-3 2010,2010,-5.845662155,36.24439367
11-039-019-00002-02-a 2012,2012,-5.842159457,36.24659487
11-039-019-00003-02 2016,2016,-5.838992601,36.24363301
11-039-019-00003-02 2017,2017,-5.838993904,36.24366903
11-039-019-00003-02-1 2013,2013,-5.842159457,36.24659487
11-039-019-00003-03 2016,2016,-5.838992601,36.24363301
11-039-019-00003-03-00 2014,2014,-5.851074883,36.23138626
11-039-019-00003-03-2 2010,2010,-5.858839284,36.22772214
11-039-019-00004-02 2015,2015,-5.837381882,36.24146272
11-039-019-00004-02-1 2013,2013,-5.845327387,36.24375276
11-039-019-00006-01 2016,2016,-5.820965763,36.23673281
11-039-019-00006-01 2017,2017,-5.820965763,36.23673281
11-039-019-00006-01 2018,2018,-5.820965763,36.23673281
11-039-019-00006-01 2019,2019,-5.820965763,36.23673281
11-039-019-00006-01-00 2009,2009,-5.81951676,36.23857107
11-039-019-00006-01-00 2015,2015,-5.820965763,36.23673281
11-039-019-00006-02-00 2009,2009,-5.827042233,36.24304222
11-039-019-00006-02-00 2013,2013,-5.819135063,36.23841623
11-039-019-00006-02-2 2010,2010,-5.819133102,36.23842244
11-039-019-00006-03 2011,2011,-5.819135386,36.23842523
11-039-019-00006-03-00 2017,2017,-5.81219311,36.23220804
11-039-019-00006-03-00 2018,2018,-5.81219311,36.23220804
11-039-019-00006-03-00 2019,2019,-5.81219311,36.23220804
11-039-019-00006-06 2011,2011,-5.819135386,36.23842523
11-039-019-00007-01 2009,2009,-5.80523217,36.23094249
11-039-019-00007-01 2012,2012,-5.804516266,36.23155023
11-039-019-00007-01-00 2013,2013,-5.805239701,36.23093844
11-039-019-00007-01-00 2014,2014,-5.805393695,36.23088977
11-039-019-00007-01-1 2010,2010,-5.805232136,36.23094248
11-039-019-00007-01-1 2011,2011,-5.805228586,36.2309387
11-039-019-00008-04 2009,2009,-5.793625635,36.22498952
11-039-019-00008-04-1 2010,2010,-5.793625645,36.22498956
11-039-019-00008-04-1 2011,2011,-5.819135386,36.23842523
11-039-019-00008-04-a 2012,2012,-5.783213035,36.22054827
11-039-019-00008-05 2009,2009,-5.793625635,36.22498952
11-039-019-00008-05-1 2011,2011,-5.793626052,36.22499186
11-039-020-00002-01 2009,2009,-5.868331438,36.24582173
11-039-020-00002-01-0 2011,2011,-5.868332581,36.24581648
11-039-020-00002-02 2009,2009,-5.868331438,36.24582173
