Year,X,Y
2012,14.156239,55.576575
2012,14.126111,55.955986
2012,13.090781,56.185994
2012,13.55927,55.552605
2012,12.681479,56.111928
2012,13.567247,55.764031
2012,13.682895,55.596089
2012,13.731806,55.700351
2012,13.768414,55.636794
2012,12.965107,56.244281
2012,13.059625,55.910003
2012,13.508157,55.827134
2012,13.862542,56.128641
2011,14.26725087,55.56072014
2011,12.93756712,56.25777648
2011,13.92465709,55.50988432
2011,13.12268221,56.09345287
2011,14.12341054,55.53433727
2011,13.88332939,55.5520134
2011,13.1083774,56.11542209
2011,14.14341164,55.80105209
2011,12.93071684,56.17120542
2011,14.12000019,55.53742608
2011,14.1533636,55.57683486
2011,13.50289967,55.6431829
2011,12.91337444,55.93351811
2011,13.08612244,56.19284548
2011,14.0776953,55.38844563
2011,13.56008445,55.55355672
2011,13.82441998,55.67169952
2011,13.01062538,56.01857649
2011,13.68959357,55.82050122
2011,13.22055786,55.41882961
2011,13.47215661,55.73524587
2011,13.60795828,55.58919313
2011,13.89105415,55.70675659
2011,13.55706051,55.5089836
2011,13.35437654,55.47106228
2011,13.45893131,55.82583957
2011,13.69839792,55.61026323
2011,12.85679994,56.04883776
2011,12.96426835,55.49669657
2011,12.85972397,56.01055434
2011,13.64510712,55.51786238
2011,13.58601504,55.80619608
2011,13.74068052,55.70563353
2011,13.74438667,55.73600006
2011,13.63946107,55.45366572
2011,13.05997384,55.90962768
2011,14.04128205,55.56052962
2011,13.6249095,55.72316545
2011,13.49571562,55.83059706
2011,13.19028595,55.68142517
2011,13.02309112,55.44199619
2011,-80.309,41.20894
2011,-80.309,41.20894
2010,-80.309,41.20894
2010,-80.309,41.20894
2010,-77.41353,41.13275
2010,-77.41353,41.13275
2011,-77.41353,41.13275
2011,-77.41353,41.13275
2011,-76.611887,40.292429
2010,-76.946828,41.241192
2010,-76.946828,41.241192
2011,-76.946828,41.241192
2011,-76.946828,41.241192
2010,-76.8648,41.06454
2010,-77.52091,40.34155
2011,-75.82988,40.47596
2010,-76.87077,40.0147
2010,-76.87077,40.0147
2012,-76.87077,40.0147
2012,-76.87077,40.0147
2012,-76.42823,40.11786
2012,-76.42823,40.11786
2010,-76.42823,40.11786
2010,-76.42823,40.11786
2011,-75.687595,40.55716
2010,-77.62503,39.99243
2010,-77.1232,41.98308
2011,-76.63605007,39.9882898
2010,-78.74505,40.38714
2010,-76.65805,41.68683
2010,-79.44893,40.38558
2012,-77.92821,40.71686
2012,-77.92821,40.71686
2012,-77.92821,40.71686
2011,-77.92821,40.71686
2011,-77.92821,40.71686
2011,-77.92821,40.71686
2010,-77.92821,40.71686
